Enfermedad,Persona,frase,num_ind,indicador,dimension,contiene_indicador
Epilepsia ,Primera Persona ,Siempre me ha interesado cómo funciona el cerebro.,0,,,0
Epilepsia ,Primera Persona ,Me hice profesor de neurofisiología clínica y trabajé con personas que viven con epilepsia.,0,,,0
Epilepsia ,Primera Persona ,"Después, tras sufrir un accidente de ciclismo a los 61 años, pasé a padecer yo mismo esta enfermedad.",0,,,0
Epilepsia ,Primera Persona ,Fui operado por los hematomas subdurales que tenía en el cerebro y posteriormente desarrollé epilepsia.,0,,,0
Epilepsia ,Primera Persona ,"Tras estudiar la epilepsia durante décadas, me resultó difícil asumir el hecho",1,falta aceptación,Dimensión 8: Mental Health,1
Epilepsia ,Primera Persona ,de que ahora yo era un paciente y no el médico,1,cambio rol social,Dimensión 7: Role Limitations due to Emotional Problems,1
Epilepsia ,Primera Persona ,He evolucionado para entender de una forma mucho más exhaustiva de qué modo afecta la incertidumbre,3,adaptación,Dimensión 7: Role Limitations due to Emotional Problems,1
Epilepsia ,Primera Persona ,He evolucionado para entender de una forma mucho más exhaustiva de qué modo afecta la incertidumbre,3,empatía,Dimensión 8: Mental Health,1
Epilepsia ,Primera Persona ,He evolucionado para entender de una forma mucho más exhaustiva de qué modo afecta la incertidumbre,3,incertidumbre,Dimensión 8: Mental Health,1
Epilepsia ,Primera Persona ,de la epilepsia a las personas.,0,,,0
Epilepsia ,Primera Persona ,Comparto mi experiencia,1,dar apoyo social,Dimensión 6: Social Functioning,1
Epilepsia ,Primera Persona ,",  y fomento la percepción de llevar una buena vida conviviendo con la epilepsia",1,reevaluación positiva,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,"me autoexploré es el tema estaba duchando y notaba que algo en el pecho derecho tenía como que no era normal y automáticamente me fui a mi ginecólogo 
Ella me hizo unas pruebas y luego me mandó al cirujano y fue el cirujano no 
me había dicho que apenas el primer diagnóstico palpándome que lo que tenía 
era cáncer no te acostumbres a esa palabra ese día fue muy difícil",1,impacto diagnóstico,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,para mí mi mente quiere hacer más cosas que mi cuerpo no puede,2,frustración,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,para mí mi mente quiere hacer más cosas que mi cuerpo no puede,2,incapacidad física,Dimensión 1: Physical Functioning,1
Cáncer ,Primera Persona ,o sea un pan aparte y lo que hay que intentar es intentar moverte no quedarte en casa yo lo intento Finalmente y hay que obligarse con una meta+,1,búsqueda metas,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,que es decir terminar el tratamiento,1,adherencia tratamiento,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,y empezar a remontar yo lo que digo ahora mismo es que yo ahora mismo Estoy en reforma experiencia aquí es maravillosa dentro de lo que es un tratamiento de cáncer es bastante bueno la gente es muy empática,1,búsqueda apoyo social emocional,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,aún esta ayuda no es fácil llevar este tratamiento,1,dificultad tratamiento,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,y sabes que cuando vienes están ahí me he sentido muy segura,1,seguridad tratamiento,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,porque date cuenta el mismo cirujano es el que me remitió la doctora,1,coordinación médica,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,a la doctora del castillo y la verdad que desde que estoy aquí estoy bastante tranquila porque Además está revisando Dependiendo el tratamiento te animan te dicen los posibles efectos secundarios,2,satisfacción apoyo profesional,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,a la doctora del castillo y la verdad que desde que estoy aquí estoy bastante tranquila porque Además está revisando Dependiendo el tratamiento te animan te dicen los posibles efectos secundarios,2,información acerca tratamiento,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,Y cómo enfocarnos con lo cual estoy muy tranquila,1,tranquilidad,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"El 15 de febrero de 2018, sí el DÍA MUNDIAL DEL CANCÉR INFANTIL, llevamos a nuestra pequeña Eider al pediatra por tercera vez en cuatro semanas porque no terminaba de remontar",1,búsqueda apoyo profesional,Dimensión 9: Healthcare Interaction,1
Cáncer ,Tercera Persona ,"de una bronquitis que había padecido en enero del mismo año, nuestro pediatra y amigo familiar desde ese momento nos envió al Hospital Universitario de Canarias",1,derivación médica,Dimensión 9: Healthcare Interaction,1
Cáncer ,Tercera Persona ,con todo el tacto del mundo,2,apoyo profesional,Dimensión 9: Healthcare Interaction,1
Cáncer ,Tercera Persona ,con todo el tacto del mundo,2,buena comunicación médico-paciente,Dimensión 9: Healthcare Interaction,1
Cáncer ,Tercera Persona ,", pero sin poder disimular que algo grave estaba ocurriendo.",0,,,0
Cáncer ,Tercera Persona ,"Una vez allí todo es difuso: analítica, especialistas que vienen y van, hablan contigo sin darte mucha información",1,insatisfacción comunicación médico-paciente,Dimensión 9: Healthcare Interaction,1
Cáncer ,Tercera Persona ,", más especialistas, caras de preocupación y más pruebas, más confusión",2,incertidumbre,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,", más especialistas, caras de preocupación y más pruebas, más confusión",2,confusión,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"y de repente la oscuridad, el vacío, el miedo",2,tristeza,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"y de repente la oscuridad, el vacío, el miedo",2,miedo,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Tercera Persona ,"Eider tiene leucemia, sube a la UCI pediátrica a la espera de mañana realizar aspirado medular y determinar los apellidos del “Bicho”, pero no pinta bien, no pinta nada bien",2,incertidumbre,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"Eider tiene leucemia, sube a la UCI pediátrica a la espera de mañana realizar aspirado medular y determinar los apellidos del “Bicho”, pero no pinta bien, no pinta nada bien",2,pesimismo,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,Las primeras 72h son vitales y a partir de ahí 60%/40% de supervivencia.,0,,,0
Cáncer ,Tercera Persona ,Rabia,1,rabia,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,", desolación",2,desolación,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,", desolación",2,tristeza,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,", impotencia",1,impotencia,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,", negación",1,negación,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,"y dolor, infinito dolor, un dolor oscuro y agudo",1,malestar psicológico intenso,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,", de ese que no deja hinchar los pulmones durante días, cierras los ojos una y mil veces esperando a que, al abrirlos, todo haya sido una pesadilla",1,negación,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,", pero no eso no pasa, es una realidad.",0,,,0
Cáncer ,Tercera Persona ,"Nos enfrentamos a un monstruo llamado leucemia mieloide aguda, un tipo de leucemia más propio de los adultos y que quiere arrancarnos a nuestra pequeña.",0,,,0
Cáncer ,Tercera Persona ,"Ella solo quiere jugar, nos exige seguir jugando, no sabemos si serán los últimos momentos con ella pero ella ya tiene decidido cómo quiere afrontarlos, y es jugando, con su eterna sonrisa y es así como decidimos que todos juntos enfrentaríamos aquella batalla, hora a hora, día a día, sin pensar en mañana",1,vivencia momento presente,Dimensión 6: Social Functioning,1
Cáncer ,Tercera Persona ,o si iba o no a venir un mal resultado.,0,,,0
Cáncer ,Tercera Persona ,"Sin saber muy bien cómo, hemos intentando que todo fuera lo menos traumático para nuestra pequeña",1,aceptación responsabilidad,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,"Decidimos que todo aquello iba a ser un juego, un concurso, preparando a Eider para todo lo que iba viniendo",2,desarrollo personal,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,"Decidimos que todo aquello iba a ser un juego, un concurso, preparando a Eider para todo lo que iba viniendo",2,resiliencia,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,Todos los efectos secundarios de la quimio eran pruebas que tendría que superar para ir ganando recompensas.,0,,,0
Cáncer ,Tercera Persona ,"Si hacía pipí azul significaba que la magia que le entraba por aquella manguerita la estaba convirtiendo poco a poco en un Hada, y si tenía suerte y era valiente “lograría perder el pelo” y así convertirse en la más poderosa de todas, el HADA CALVA.",0,,,0
