Model,Model_name,params,train_acc,train_rec,train_f1,test_acc,test_rec,test_f1
NaiveBayes_36f489cb7e77,NaiveBayes,"{'featuresCol': 'features', 'labelCol': 'label', 'smoothing': 0.5}",0.9338233258211901,0.93296853625171,0.9321764600470708,0.620041544060159,0.6368715083798883,0.6210703186926434
NaiveBayes_9933c180f4cf,NaiveBayes,"{'featuresCol': 'features', 'labelCol': 'label', 'smoothing': 1.0}",0.9192162630287891,0.9165526675786594,0.914897390383989,0.6290000401913107,0.6480446927374302,0.6225689837111638
NaiveBayes_b2ac2b53e361,NaiveBayes,"{'featuresCol': 'features', 'labelCol': 'label', 'smoothing': 1.5}",0.9102174566206434,0.9042407660738714,0.9014030283083927,0.6353640152522835,0.6536312849162011,0.6209469821448133
LogisticRegression_ea7859ae3a78,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 50, 'regParam': 0.0}",0.9932325117670245,0.9931600547195623,0.9931455697133585,0.6544815189616054,0.659217877094972,0.6563339012401852
LogisticRegression_bf6c0993cb58,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 50, 'regParam': 0.1}",0.9788372376250803,0.9781121751025992,0.977954496364029,0.6279946000616392,0.6480446927374302,0.6164739063711399
LogisticRegression_e110601ac028,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 50, 'regParam': 0.2}",0.9675380645735322,0.9658002735978113,0.9653961530852402,0.6276769087523277,0.6480446927374302,0.6096111347507995
LogisticRegression_b232974a0c50,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 100, 'regParam': 0.0}",0.9932325117670245,0.9931600547195623,0.9931455697133585,0.6544815189616054,0.659217877094972,0.6563339012401852
LogisticRegression_cc16c86142b6,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 100, 'regParam': 0.1}",0.9788372376250803,0.9781121751025992,0.977954496364029,0.6279946000616392,0.6480446927374302,0.6164739063711399
LogisticRegression_05b3859e0382,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 100, 'regParam': 0.2}",0.9675380645735322,0.9658002735978113,0.9653961530852402,0.6276769087523277,0.6480446927374302,0.6096111347507995
LogisticRegression_d1fea1fa921d,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 200, 'regParam': 0.0}",0.9932325117670245,0.9931600547195623,0.9931455697133585,0.6544815189616054,0.659217877094972,0.6563339012401852
LogisticRegression_f0b3c4352a86,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 200, 'regParam': 0.1}",0.9788372376250803,0.9781121751025992,0.977954496364029,0.6279946000616392,0.6480446927374302,0.6164739063711399
LogisticRegression_4f1454d3e2df,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 200, 'regParam': 0.2}",0.9675380645735322,0.9658002735978113,0.9653961530852402,0.6276769087523277,0.6480446927374302,0.6096111347507995
LinearSVC_277c9bb78111,LinearSVC,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 50, 'regParam': 0.0}",0.9918961832237688,0.9917920656634747,0.9917710891621745,0.6418022322944849,0.653631284916201,0.6436137583525028
