Model,Model_name,params,train_acc,train_rec,train_f1,test_acc,test_rec,test_f1
NaiveBayes_84a803936e3b,NaiveBayes,"{'featuresCol': 'features', 'labelCol': 'label', 'smoothing': 0.5}",0.8608409469727886,0.8568807339449542,0.8559514023857443,0.29501809060504713,0.328,0.30439847040912965
NaiveBayes_2a2bb14352b9,NaiveBayes,"{'featuresCol': 'features', 'labelCol': 'label', 'smoothing': 1.0}",0.843804368982631,0.8348623853211008,0.8334656465381343,0.2899467754467755,0.32,0.29096220091964775
NaiveBayes_488b759af2df,NaiveBayes,"{'featuresCol': 'features', 'labelCol': 'label', 'smoothing': 1.5}",0.823759887909583,0.8073394495412844,0.8031855904522357,0.27682527472527474,0.312,0.27894422714761696
LogisticRegression_037083dc523a,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 50, 'regParam': 0.0}",0.940695916417656,0.9394495412844037,0.9394489923846732,0.3008652406417113,0.304,0.29776023391812867
LogisticRegression_4ae3033a6934,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 50, 'regParam': 0.1}",0.9267799697302226,0.9211009174311926,0.9215262013405763,0.29304978354978356,0.328,0.3025441259209945
LogisticRegression_807a0750beaa,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 50, 'regParam': 0.2}",0.923278273051575,0.9155963302752295,0.9160043736276473,0.2684690566997203,0.304,0.27389337712096334
LogisticRegression_b8ee70635d4f,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 100, 'regParam': 0.0}",0.9394948533072286,0.9394495412844038,0.9391210460894037,0.2816890269151139,0.288,0.27975166780550254
LogisticRegression_24e8cacae4b0,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 100, 'regParam': 0.1}",0.9267799697302226,0.9211009174311926,0.9215262013405763,0.29304978354978356,0.328,0.3025441259209945
LogisticRegression_b66277372feb,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 100, 'regParam': 0.2}",0.923278273051575,0.9155963302752295,0.9160043736276473,0.2684690566997203,0.304,0.27389337712096334
LogisticRegression_9c7730a276c1,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 200, 'regParam': 0.0}",0.9392833013299198,0.9394495412844037,0.939128089720648,0.27596521739130436,0.288,0.27761474364730176
LogisticRegression_23361f079a5d,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 200, 'regParam': 0.1}",0.9267799697302226,0.9211009174311926,0.9215262013405763,0.29304978354978356,0.328,0.3025441259209945
LogisticRegression_08f693324f1a,LogisticRegression,"{'featuresCol': 'features', 'labelCol': 'label', 'maxIter': 200, 'regParam': 0.2}",0.923278273051575,0.9155963302752295,0.9160043736276473,0.2684690566997203,0.304,0.27389337712096334
RandomForestClassifier_7caf5effae40,RandomForestClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'numTrees': 10, 'maxDepth': 3}",0.5087310681431879,0.26422018348623855,0.21539088425932265,0.1752,0.20800000000000002,0.12921904761904762
RandomForestClassifier_7b26e0a6e08f,RandomForestClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'numTrees': 10, 'maxDepth': 5}",0.47978610074940353,0.28440366972477066,0.23837646037049806,0.26280041797283177,0.24,0.170884953641581
RandomForestClassifier_fb4ed68a4043,RandomForestClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'numTrees': 10, 'maxDepth': 7}",0.640908650981203,0.3834862385321101,0.3639556430893764,0.17693391455972102,0.184,0.11861531914893617
RandomForestClassifier_b6d9fad7efa0,RandomForestClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'numTrees': 20, 'maxDepth': 3}",0.5016826891646565,0.28256880733944956,0.23403148265614165,0.12281619937694704,0.168,0.08509587301587301
RandomForestClassifier_1df72bf12706,RandomForestClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'numTrees': 20, 'maxDepth': 5}",0.5600943664239797,0.3559633027522936,0.3107371221004578,0.12938461538461538,0.22400000000000003,0.13718767507002802
RandomForestClassifier_780439cf88eb,RandomForestClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'numTrees': 20, 'maxDepth': 7}",0.6665685973719673,0.4055045871559633,0.3874061722071216,0.31013173565722585,0.24,0.2060776666402473
RandomForestClassifier_fa72873613af,RandomForestClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'numTrees': 30, 'maxDepth': 3}",0.51993176393313,0.27706422018348625,0.21814581052261967,0.06204321521175454,0.16799999999999998,0.08457003058103976
RandomForestClassifier_928327445760,RandomForestClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'numTrees': 30, 'maxDepth': 5}",0.5727714633741844,0.3541284403669725,0.3166839851492812,0.13332293144208035,0.17600000000000002,0.10566145492341436
RandomForestClassifier_ba6fd68c438c,RandomForestClassifier,"{'featuresCol': 'features', 'labelCol': 'label', 'numTrees': 30, 'maxDepth': 7}",0.6113566933593,0.41284403669724773,0.38606839040821955,0.25265671641791043,0.20800000000000002,0.1674456044733992
