Model,Model_name,params,train_acc,train_rec,train_f1,test_acc,test_rec,test_f1
NaiveBayes_089aa45b8472,NaiveBayes,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'smoothing': 0.5}",0.8775466221177444,0.8752293577981651,0.8751599115520692,0.31062450592885377,0.28800000000000003,0.286216061750427
NaiveBayes_b729fed2ba4b,NaiveBayes,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'smoothing': 1.0}",0.8775466221177444,0.8752293577981651,0.8751599115520692,0.31759480519480515,0.32000000000000006,0.30624633060078377
NaiveBayes_bd7593ec6a34,NaiveBayes,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'smoothing': 1.5}",0.8817904935862015,0.8807339449541285,0.8806689676230927,0.32600932400932403,0.328,0.3158336776554293
LogisticRegression_c94f7c47d748,LogisticRegression,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'maxIter': 50, 'regParam': 0.0}",0.940695916417656,0.9394495412844037,0.9394489923846732,0.3008652406417113,0.304,0.29776023391812867
LogisticRegression_00b92b302400,LogisticRegression,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'maxIter': 50, 'regParam': 0.1}",0.9267799697302226,0.9211009174311926,0.9215262013405763,0.29304978354978356,0.328,0.3025441259209945
LogisticRegression_8edfd5f6bbd8,LogisticRegression,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'maxIter': 50, 'regParam': 0.2}",0.923278273051575,0.9155963302752295,0.9160043736276473,0.2684690566997203,0.304,0.27389337712096334
LogisticRegression_16db98746462,LogisticRegression,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'maxIter': 100, 'regParam': 0.0}",0.9394948533072286,0.9394495412844038,0.9391210460894037,0.2816890269151139,0.288,0.27975166780550254
LogisticRegression_23fd823451eb,LogisticRegression,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'maxIter': 100, 'regParam': 0.1}",0.9267799697302226,0.9211009174311926,0.9215262013405763,0.29304978354978356,0.328,0.3025441259209945
LogisticRegression_c4ce1f7be3ad,LogisticRegression,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'maxIter': 100, 'regParam': 0.2}",0.923278273051575,0.9155963302752295,0.9160043736276473,0.2684690566997203,0.304,0.27389337712096334
LogisticRegression_9eb8899e852b,LogisticRegression,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'maxIter': 200, 'regParam': 0.0}",0.9392833013299198,0.9394495412844037,0.939128089720648,0.27596521739130436,0.288,0.27761474364730176
LogisticRegression_a276d3a90be4,LogisticRegression,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'maxIter': 200, 'regParam': 0.1}",0.9267799697302226,0.9211009174311926,0.9215262013405763,0.29304978354978356,0.328,0.3025441259209945
LogisticRegression_f0d7fe869cd2,LogisticRegression,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'maxIter': 200, 'regParam': 0.2}",0.923278273051575,0.9155963302752295,0.9160043736276473,0.2684690566997203,0.304,0.27389337712096334
RandomForestClassifier_78e73aacf341,RandomForestClassifier,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'numTrees': 10, 'maxDepth': 3}",0.5677408830213713,0.23119266055045873,0.16652866149473497,0.18223598820058998,0.176,0.08709167701863355
RandomForestClassifier_2110833407b5,RandomForestClassifier,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'numTrees': 10, 'maxDepth': 5}",0.5864099586927434,0.30642201834862387,0.2804447414560452,0.0803047619047619,0.16000000000000003,0.07648551724137931
RandomForestClassifier_20a0581b7a54,RandomForestClassifier,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'numTrees': 10, 'maxDepth': 7}",0.6437364769042017,0.3247706422018349,0.30579121591532804,0.29375602836879433,0.20800000000000002,0.14558755986931837
RandomForestClassifier_b9a303dd650b,RandomForestClassifier,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'numTrees': 20, 'maxDepth': 3}",0.5643682099537398,0.27706422018348625,0.23622409847577328,0.21123232323232322,0.192,0.12649441305712494
RandomForestClassifier_cb4f5b52e7ac,RandomForestClassifier,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'numTrees': 20, 'maxDepth': 5}",0.6278951200025665,0.3302752293577982,0.29952312412464427,0.2903798822899947,0.23200000000000004,0.17343591499072886
RandomForestClassifier_b0ce952554ae,RandomForestClassifier,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'numTrees': 20, 'maxDepth': 7}",0.6110607351896349,0.41834862385321103,0.40631653891942604,0.43082967032967034,0.304,0.2612418374380326
RandomForestClassifier_f71bdf369dce,RandomForestClassifier,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'numTrees': 30, 'maxDepth': 3}",0.49726837723397355,0.30275229357798167,0.2520348208127524,0.15614141414141414,0.18400000000000002,0.10718241758241757
RandomForestClassifier_f585e05b1944,RandomForestClassifier,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'numTrees': 30, 'maxDepth': 5}",0.5987148806677913,0.3743119266055046,0.3335027028549167,0.17282409745293464,0.23200000000000004,0.15101981427810968
RandomForestClassifier_ec5aca0a91dc,RandomForestClassifier,"{'featuresCol': 'tfidf', 'labelCol': 'label', 'numTrees': 30, 'maxDepth': 7}",0.6267089791668676,0.3981651376146789,0.3680687837312579,0.13780082712985942,0.21600000000000003,0.13230150932887774
